BENER BEPAPAH
PENUNGKUNEN
DATOK PINING
KATI MAJU
LEUSER
JATI SARA
BUKIT MBAKHU
KAYU METANGUR
LAWE SEMBEKAN
LAWE BERINGIN
LAWE GER-GER
SIMPUR JAYA
SALANG BARU
RANTO DIOR
LEMBAH ALAS
TENEMBAK LANG-LANG
SALANG SIGOTOM
TUALANG LAMA
GUSUNG BATU
KAYA PANGUR
SEPAKAT
LAWE PANGKAT
BUNGA MELUR
PENAMPAAN
TERUTUNG MBELANG
SALANG MUARA
LAWE HAKHUM
TANOH KHUKAHEN
TADING NI ULIHI
PESELUK PESIMBE
KANE LOT
MUHAJIRIN
BERIRING NARU
KATI JEROH
TERUTUNG MEGARA LAWE PASARAN
KISAM GABUNGAN
KISAM KUTE PASIR
LAWE SUMUR
LAWE SUMUR BARU
KUTE LESUNG
BERANDANG
KUTE BUNIN
BUAH PALA
PANOSAN
LAWE PASARAN TENGKU MBELIN
TERUTUNG MEGAHKE MBAKHU
KISAM LESTARI
KISAM KUTE RAMBE
LAWE POLAK
LAWES SUMUR SEPAKAT
SETIA BARU
TEGER MIKO
SALIM PINIM I
JAMBUR DAMAR
ALUR LANGSAT
RAMBAH SAYANG
RUMAH LUAR
TENEMBAK ALAS
LAWE TUNGKAL
SALIM PINIM II
JAMBUKH PEKHMATE
KHUTUNG MBELANG
TIMANG RASA
STAMBUL JAYA
ALUR NANGKE
KUTE MEJILE
BINTANG ALGA MUSARA
BINTANG BUKIT INDAH
TANJUNG SARI
BUN-BUN ALAS
NAGA TIMBUL
GUNUNG PAK-PAK
BUKIT MERIAH
PERMATA MUSARA
LAUT TAWAR
KANE MENDE
LAWE SEKHAKUT
BUNBUN INDAH
SUKA DAMAI
TUAH KEKHINE
PUNCE NALI
SADE ATE
AKHIH MAJILE
UKHAT PESELUK
TUNAS MUDE
GAYE SENDAH
KUTE HAKHAPEN
KOMPAS
SEPAKAT
ALUE LUDDIN SA
ALUE LUDDIN DUA
ALUE DALAM
DAMA PULO SA
DAMA PULO DUA
BUKET KULAM
SEUNEUBOK TEUNGOH
JUNGKA GAJAH
SEUNEUBOK SIMPANG
MATANG PINEUNG
LHOK GEULUMPANG
BLANG BUKET
MEUNASAH KEUTAPANG
BUKET RUMIA
ALUE GADENG
KAPAI BARO
SEUNEUBOK TUHA SA
SEUNEUBOK TUHA DUA
SEUNEUBOK BULOH
GASEH SAYANG
ALUE LHOK
TRIENG GADENG
GRONG-GRONG
MATANG GEUTO
ALUE MERBO
BUKET RAYA
GAMPONG KEUDE
PEUKAN IDI CUT
GAMPONG BEUNOT
SEUNEUBOK BAROH
TEUPIN DRUM
KUALA IDI CUT
SEUNEUBOK ACEH
GAMPONG BARO
BAGOK PANAH SA
BAGOK PANAH DUA
BAGOK PANAH LHEE
BAGOK PANAH PEUT
BUKET TUALANG
KEUMUNENG SA
KEUMUNENG DUA
KEUMUNENG LHEE
KEUMUNENG PEUT
KEUMUNENG LIMONG
MEUNASAH BLANG
BLANG KEUMAHANG
BLANG JAMBEE
KEUMUNENG
LADANG BARO
BUKET PANYANG
SEUNEUBOK RAMBONG
SEUNEUBOK BARO
BLANG MIDEUN
PAYA BAKONG
TEUPIN RAYA
LHOK RAMBONG
JULOK TUNONG
ULEE ATEUNG
ULEE BLANG
LABUHAN
NALEUNG
MANE RAMPAK
MATANG
BLANG UYOK
BLANG PAUH SA
BLANG PAUH DUA
ULEE TANOH
KEUDE KUTA BINJEI
BUKIT SEROJA
KUALA GEULUMPANG
GAMPONG BARO
TUMPOK TEUNGOH
SEUMATANG
UJONG TUNONG
BUKIT DINDENG
PAYA PASI
ALUE CEK DOI
BLANG GLEUM
TANJONG TOK BLANG
BUKET MAKMU
LHOK SEUNTANG
SIMPANG LHEE
GAMPONG JAWA
KEUDE BLANG
TANOH ANOE
KUALA PEUDAWA PUNTONG
GAMPONG ACEH
KUTA BLANG
GAMPONG TANJONG
BLANG GEULUMPANG
MEUNASAH PU'UK
BANTAYAN TIMU
KEUTAPANG MAMEH
SEUNEUBOK RAMBONG
KUALA IDI
KEUDE ACEH
SEUNEUBOK BACEE
TITI BARO
TANJONG KAPAI
ALUE DUA MUKA O
ALUE DUA MUKA S
ULEE BLANG
BUKET JOK
BUKET MEULINTEUNG
GAMPONG JALAN
TEUPIN BATEE
BUKET LANGA
BUKET PALA
BUKET JUARA
SEUNEUBOK TUTONG
SEUNEUBOK TUHA
SAMPOIMAH
DAMA PULO
GUREB BLANG
GAMPONG BARO
SEUNEUBOKTEUNGOH P.PUNTONG
KUTA LAWAH
JAMBO LABU
ALUE CANANG
ALUE DRIEN
BUKET TIGA
BENTENG
AFELING II BUKIT
KEUMUNENG HULU
PEUTOW
ALUE BULOH
ALUE TEH
PAYA RAMBONG
ALUE GADENG SA
PAYA TAMPAH
PAYA BILI DUA
PAYA BILI SA
PAYA PEULAWI
KEUDE BIREM
BAYEUN
ARAMIYAH
BLANG TUALANG
BUKET SEULEUMAK
BIREM RAYEUK
ALUE GADENG
ALUE GADENG DUA
ALUE SENTANG
MERBOU DUA
ALUE NYAMOEK
LOKOP
TERUJAK
TUALANG
LELES
UJUNG KARANG
NALON
JERING
LOOT
SEKU ALAN
SUNTI
UMAH TARING
BUNIN
SEMBUANG
SEULEUMAK
MESIR
RAMPAH
ARUL DURIN
KEUDE BAGOK SA
KEUDE BAGOK DUA
ASAN TANJONG
BANTAYAN
MATANG SEULEUMAK
TEUPIN PUKAT
MATANG NEUHEUN
KUALA BAGOK
MEUNASAH TEUNGOH
MEDANG ARA
PEULAWI
BAROH BUGENG
SEUMATANG ARON
BLANG PANJOU
PULO U
COT ASAN
PAYA ENJEE
SEULEUMAK MUDA
MATANG PANYANG
MEUNASAH HAGU
MATANG KUNYET
BUKET PANJOU
BUKET MEURAK
BUKET PANYANG
SEUNEUBOK DALAM
GAMPONG MESJID
ALUE SIWAH SERDANG
GAMPONG LHEE
BEURANDANG
GAMPONG JALAN
SEUNEUBOK RAMBONG
PASIR PUTIH
TUALANG
KEUDE PEUREULAK
LEUGE
UTEUN DAMA
PUNTI
ALUE DUA PAYA GAJAH
BLANG BITRA
KUALA BUGAK
PAYA LIPAH
SEUMATANG MUDA ITAM
LHOK DALAM
BEUSA MEURANOE
BANGKA RIMUNG
TANOH RATA
BANDRONG
BLANG BALOK
COT MUDA ITAM
KEUMUNENG
KUALA LEUGE
BALEE BUYA
ALUE NIBONG
SEUNEUBOK PEUSANGAN
SEUNEUBOK ACEH
SEUNEUBOK PIDIE
DAMA TUTONG
MATANG GLEUM
LUBOK PEMPENG
BUKET PALA
PAYA KALUI
CEK MBON
PAYA MEULIGOU
BLANG SIMPO
BLANG BATEE
MATANG PEULAWI
COT GEULUMPANG
ALUE RAMBONG
COT KEH
BAYEUN
RANTAU PANJANG
ALUE RAYA
ALUE KUMBA
SEUNEUBOK DALAM
ALUE SEULEUMAK
SARAH KAYEE
DAMAR SIPUT
SIMPANG PEUT
SIMPANG ANEUH
ALUE PUNTI
ALUE KAUL
SARAH TEUBE
ALUE TUWI
PEULALU
NICAH AWE
ALUE BULOH SA
ALUE BULOH DUA
TEUPIN BREUH
MATANG RAYEUK
MATANG KUMBANG
BLANG NIE
BANTAYAN
MATANG WENG
ALUE MULIENG
PUCOK ALUE DUA
GAMPONG BLANG
KEUDE TUHA
KUALA SIMPANG ULIM
LAMPOH RAYEUK
TEUPIN MAMPLAM
TITI BAROH
PUCOK ALUE SA
PUCOK ALUE BARAT
ARAKUNDO
GAMPONG BARO
MATANG SEUPENG
PAYA UNOU
SEUNEUBOK JOHAN
SEUNEUBOK BARO
PULO BLANG
BLANG BAROM
SEUNEUBOK DALAM
SEULEUMAK MUDA
BHOM LAMA
PASI PUTEH
ALUE DUA
BUKET PALA
MATA IE
ALUE UDEP
SEUMALI
PUNTI PAYONG
PAYA PALAS
TAMPAK
KLIET
ALUE GEUNTENG
PERTAMINA
ALUE BATEE
BEURANDANG
SEUMANAH JAYA
BLANG SEUNONG
SUKA DAMAI
PANTE LABU
PANTE RAMBONG
ALUE IE MIRAH
SEUNEUBOK TUHA
